                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 1.0896,                0.50888,                 1.0085,                0.99936,                      1,                  0.995,                0.84517,                 0.7059,                0.28437,                0.85292,               0.006535,               0.006535,               0.006535
                     38,                 1.0848,                0.50756,                 1.0068,                0.99936,                      1,                  0.995,                0.84539,                0.70638,                0.28371,                0.85267,               0.006436,               0.006436,               0.006436
                     39,                  1.084,                0.50754,                 1.0065,                0.99933,                      1,                  0.995,                0.84697,                0.70271,                0.28292,                0.85181,               0.006337,               0.006337,               0.006337
                     40,                 1.0796,                0.50292,                 1.0062,                0.99933,                      1,                  0.995,                0.84607,                0.70524,                0.28272,                0.85233,               0.006238,               0.006238,               0.006238
                     41,                 1.0764,                0.50039,                 1.0054,                0.99937,                      1,                  0.995,                0.84522,                0.70884,                0.28298,                0.85265,               0.006139,               0.006139,               0.006139
                     42,                 1.0759,                0.50325,                 1.0034,                0.99936,                      1,                  0.995,                0.84592,                0.70535,                0.28207,                0.85167,                0.00604,                0.00604,                0.00604
                     43,                  1.073,                0.49906,                 1.0029,                0.99933,                      1,                  0.995,                0.84666,                0.70426,                0.28195,                0.85135,               0.005941,               0.005941,               0.005941
                     44,                 1.0679,                0.49526,                 1.0015,                0.99933,                      1,                  0.995,                0.84717,                0.70233,                0.28154,                0.85084,               0.005842,               0.005842,               0.005842
                     45,                 1.0672,                0.49375,                 1.0003,                0.99932,                      1,                  0.995,                0.84724,                0.70296,                 0.2816,                 0.8506,               0.005743,               0.005743,               0.005743
                     46,                 1.0668,                0.49541,                0.99927,                0.99931,                      1,                  0.995,                0.84787,                0.70167,                0.28122,                0.85001,               0.005644,               0.005644,               0.005644
                     47,                 1.0617,                0.48948,                0.99651,                0.99931,                      1,                  0.995,                0.84771,                0.70175,                0.28102,                0.84969,               0.005545,               0.005545,               0.005545
                     48,                 1.0598,                0.48866,                  0.997,                0.99932,                      1,                  0.995,                0.84736,                0.70155,                0.28069,                0.84961,               0.005446,               0.005446,               0.005446
